[behavioral] config: /tmp/gemma-multihop.yaml (tier=multihop-gemma3-27b-it-v2-6e07b42243bd)
[behavioral] bank family 'multihop': using 100 of 100 frozen items (config.bank.n_items=None, first-N by file order)
[behavioral] loading model: google/gemma-3-27b-it (dtype=bfloat16)
Loading weights:   0%|          | 0/1247 [00:00<?, ?it/s]Loading weights:  35%|███▍      | 433/1247 [00:00<00:00, 4301.58it/s]Loading weights:  90%|████████▉ | 1117/1247 [00:00<00:00, 5787.43it/s]Loading weights: 100%|██████████| 1247/1247 [00:00<00:00, 5760.44it/s]
[behavioral] model loaded via AutoModelForCausalLM on device=cuda
[behavioral] mechanical single-token filter (['target', 'intermediates']): 85/100 eligible for behavioral testing (15 dropped -- structurally unscoreable under this tokenizer, see mechanical_filter.jsonl)
[behavioral] running 85 items x (1 greedy + 10 sampled @ temp=0.7) generations ...

# Stage C — behavioral pre-check

Model: `google/gemma-3-27b-it`
Mode: plain completion of the item's own prompt (no chat template), scored against `target`. No one-hop sub-check: the bank provides no one-hop prompt field (see Stage A characterization) -- retention below confirms end-to-end composability only, not hop-by-hop factual knowledge.
Pass rule: greedy answer names the target AND >= 8/10 sampled answers (temp=0.7) name it.

## Retention rate: 53/85 = 62.4%

Scored analysis (Stage D) runs on the passing subset only -- items the model cannot solve have no latent intermediate to find and only add noise. A low retention rate is a finding, not something to fix by loosening this check.

| item | target | greedy pass | sampled pass | overall |
| b3-mh-acropolis-capital | 'Athens' | ✓ | 10/10 | PASS |
| b3-mh-buenosaires-language | 'Spanish' | ✓ | 10/10 | PASS |
| b3-mh-colosseum-capital | 'Rome' | ✓ | 10/10 | PASS |
| b3-mh-cuckoo-mountains | 'Alps' | ✗ | 4/10 | FAIL |
| b3-mh-eiffel-capital | 'Paris' | ✓ | 10/10 | PASS |
| b3-mh-fjords-capital | 'Oslo' | ✓ | 10/10 | PASS |
| b3-mh-fuji-currency | 'yen' | ✓ | 7/10 | FAIL |
| b3-mh-gravity-fruit | 'apple' | ✓ | 10/10 | PASS |
| b3-mh-greatwall-river | 'Yangtze' | ✓ | 10/10 | PASS |
| b3-mh-guinness-capital | 'Dublin' | ✓ | 10/10 | PASS |
| b3-mh-kangaroo-ocean | 'Indian' | ✓ | 10/10 | PASS |
| b3-mh-kilts-capital | 'Edinburgh' | ✓ | 10/10 | PASS |
| b3-mh-kremlin-language | 'Russian' | ✓ | 10/10 | PASS |
| b3-mh-lisbon-language | 'Portuguese' | ✓ | 10/10 | PASS |
| b3-mh-longestriver-sea | 'Mediterranean' | ✗ | 0/10 | FAIL |
| b3-mh-nokia-capital | 'Helsinki' | ✓ | 10/10 | PASS |
| b3-mh-samba-river | 'Amazon' | ✓ | 10/10 | PASS |
| b3-mh-sphinx-capital | 'Cairo' | ✓ | 9/10 | PASS |
| b3-mh-tajmahal-river | 'Ganges' | ✓ | 4/10 | FAIL |
| b3-mh-tulips-capital | 'Amsterdam' | ✓ | 10/10 | PASS |
| b3-mh-zeus-country | 'Greece' | ✓ | 10/10 | PASS |
| basketball-players | '5' | ✓ | 10/10 | PASS |
| carnival-ocean | 'Atlantic' | ✗ | 2/10 | FAIL |
| dual-stars-visible-opposite | 'day' | ✗ | 0/10 | FAIL |
| firstletter-greatwall-country | 'C' | ✗ | 1/10 | FAIL |
| firstletter-halloween-month | 'O' | ✓ | 10/10 | PASS |
| super-smallest-continent | 'Europe' | ✗ | 1/10 | FAIL |
| bf-eiffel-continent | 'Europe' | ✓ | 9/10 | PASS |
| bf-kangaroo-capital | 'Canberra' | ✓ | 10/10 | PASS |
| bf-mapleleaf-capital | 'Ottawa' | ✓ | 10/10 | PASS |
| bf-olympia-language | 'Greek' | ✗ | 0/10 | FAIL |
| b3-mh-ikea-capital | 'Stockholm' | ✓ | 10/10 | PASS |
| b3-mh-lego-capital | 'Copenhagen' | ✓ | 10/10 | PASS |
| b3-mh-operahouse-country | 'Australia' | ✓ | 10/10 | PASS |
| b3-mh-pizza-continent | 'Europe' | ✓ | 10/10 | PASS |
| b3-mh-tallest-continent | 'Asia' | ✓ | 10/10 | PASS |
| colosseum-currency | 'Euro' | ✗ | 3/10 | FAIL |
| dbl-armistice-antonym | 'peace' | ✗ | 0/10 | FAIL |
| dual-photosynthesis-opposite | 'night' | ✓ | 5/10 | FAIL |
| firstletter-populous-country | 'C' | ✗ | 1/10 | FAIL |
| roman-rings-olympic | 'V' | ✗ | 0/10 | FAIL |
| bf-colosseum-language | 'Italian' | ✓ | 9/10 | PASS |
| bf-greatwall-language | 'Mandarin' | ✗ | 5/10 | FAIL |
| bf-nile-desert | 'Sahara' | ✓ | 10/10 | PASS |
| bf-relativity-firstname | 'Albert' | ✓ | 9/10 | PASS |
| bf-tajmahal-continent | 'Asia' | ✓ | 7/10 | FAIL |
| b3-mh-aztec-language | 'Spanish' | ✗ | 0/10 | FAIL |
| b3-mh-windycity-state | 'Illinois' | ✓ | 10/10 | PASS |

[behavioral] wrote /workspace/j-lens-text-degradation/runs/behavioral-multihop-gemma3-27b-it-v2-6e07b42243bd/behavioral_results.jsonl, /workspace/j-lens-text-degradation/runs/behavioral-multihop-gemma3-27b-it-v2-6e07b42243bd/behavioral_report.md, and /workspace/j-lens-text-degradation/runs/behavioral-multihop-gemma3-27b-it-v2-6e07b42243bd/mechanical_filter_dropped.jsonl
[behavioral] wrote /workspace/j-lens-text-degradation/runs/20260919T135221Z-behavioral/provenance.json (and repo-root provenance.json)

[behavioral] retention rate (of mechanically-eligible items): 62.4% (53/85)
[behavioral] end-to-end retention (of the full 100-item subset, mechanical + behavioral): 53/100 = 53.0%
